Country Name,Sovereign,GEO Region,GEO Subregion,dis75,dis76,dis77,dis78,dis79,dis80,dis81,dis82,dis83,dis84,dis85,dis86,dis87,dis88,dis89,dis90,dis91,dis92,dis93,dis94,dis95,dis96,dis97,dis98,dis99,dis00,dis01,dis02,dis03,dis04
Turkmenistan,Turkmenistan,Europe,Central Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands,United Kingdom of Great Britain and Northern Ireland,Latin America + Caribbean,Caribbean,0,0,0,0,0,0,0,0,0,0,770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200
Tuvalu,Tuvalu,Asia + Pacific,South Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,Uganda,Africa,Eastern Africa,0,0,0,0,0,500000,0,0,0,0,0,0,331000,602000,0,0,0,0,0,50000,0,0,150000,139000,700000,190000,3856,587086,700,0
Ukraine,Ukraine,Europe,Eastern Europe,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,1000,408000,0,1700000,0,0,0,0,47400,300000,0,600,0
United Arab Emirates,United Arab Emirates,West Asia,Arabian Peninsula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,Europe,Western Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000,0,0,600,700,0,12000,0,253000,530,21140,150,750,0,120
United Republic of Tanzania,United Republic of Tanzania,Africa,Southern Africa,0,0,20000,9000,90000,0,0,40000,0,1900000,0,0,0,116500,141056,142000,0,800000,201513,0,1850,3000000,608028,3000000,0,1300750,0,0,1902000,0
United States of America,United States of America,North America,North America,200,0,2700,0,14000,111000,0,36000,1500,14000,1005550,2150,5400,0,300,120,2900,30450,199300,386131,207090,677500,315560,230671,3051750,85814,101018,167400,231095,5099310
United States Virgin Islands,United States of America,Latin America + Caribbean,Caribbean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay,Uruguay,Latin America + Caribbean,South America,0,0,0,0,0,0,0,0,0,0,0,16000,0,0,0,0,1500,4700,2000,0,0,0,0,9300,0,5400,5000,1300,200,2000
Uzbekistan,Uzbekistan,Europe,Central Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,0,0,0,0,0,0,0,500000,600000,0,0,0
Vanuatu,Vanuatu,Asia + Pacific,South Pacific,0,0,0,0,0,0,0,0,0,0,117500,0,48000,3100,0,0,0,1150,5000,0,0,0,0,2400,12000,0,5505,4000,0,54000
Venezuela (Bolivarian Republic of),Venezuela Bolivarian Republic of,Latin America + Caribbean,South America,0,0,0,0,0,150,4000,0,0,0,15000,150,15000,5480,0,0,0,0,0,0,0,35000,0,0,417547,27000,0,55376,450,1645
Viet Nam,Viet Nam,Asia + Pacific,South East Asia,0,0,1000,4000000,0,15615000,0,1300000,580000,688416,3025000,2500000,584800,1320000,5635000,510000,297978,178234,26520,393000,423000,4616500,3697220,3812660,7039150,5042500,1792900,2516500,402880,900
Wake Island,United States of America,Asia + Pacific,South Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna,France,Asia + Pacific,South Pacific,0,0,0,0,0,0,0,0,0,0,0,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Sahara,Western Sahara,Africa,Northern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,Yemen,West Asia,Arabian Peninsula,50000,0,0,0,0,0,15000,700000,0,0,0,0,0,0,260000,0,0,0,9000,0,0,124000,0,3000,12250,0,0,260,0,0
Zambia,Zambia,Africa,Southern Africa,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,800000,0,0,1700000,0,0,1273200,0,0,1300000,0,12000,1448530,3162000,0,196385
Zimbabwe,Zimbabwe,Africa,Southern Africa,0,0,0,0,0,0,0,700000,0,0,0,0,0,0,0,0,0,4600000,5000000,5000000,5000000,0,0,55000,0,200000,730000,6000000,18000,0
